global_step=187, episodic_return=[2.]
global_step=300, episodic_return=[0.]
global_step=490, episodic_return=[2.]
global_step=934, episodic_return=[13.]
global_step=1286, episodic_return=[5.]
global_step=1474, episodic_return=[2.]
global_step=1612, episodic_return=[1.]
global_step=1725, episodic_return=[0.]
global_step=1868, episodic_return=[1.]
global_step=1979, episodic_return=[0.]
global_step=2185, episodic_return=[2.]
global_step=2300, episodic_return=[0.]
global_step=2413, episodic_return=[0.]
global_step=2528, episodic_return=[0.]
global_step=2714, episodic_return=[2.]
global_step=2932, episodic_return=[3.]
global_step=3142, episodic_return=[2.]
global_step=3350, episodic_return=[2.]
global_step=3521, episodic_return=[2.]
global_step=3680, episodic_return=[1.]
global_step=3888, episodic_return=[2.]
global_step=4003, episodic_return=[0.]
global_step=4118, episodic_return=[0.]
global_step=4378, episodic_return=[4.]
global_step=4487, episodic_return=[0.]
global_step=4602, episodic_return=[0.]
global_step=4761, episodic_return=[1.]
global_step=4874, episodic_return=[0.]
global_step=4985, episodic_return=[0.]
global_step=5146, episodic_return=[1.]
global_step=5303, episodic_return=[1.]
global_step=5418, episodic_return=[0.]
global_step=5529, episodic_return=[0.]
global_step=5707, episodic_return=[2.]
global_step=5917, episodic_return=[2.]
global_step=6091, episodic_return=[2.]
global_step=6228, episodic_return=[1.]
global_step=6341, episodic_return=[0.]
global_step=6503, episodic_return=[1.]
global_step=6646, episodic_return=[1.]
global_step=6761, episodic_return=[0.]
global_step=6874, episodic_return=[0.]
global_step=7064, episodic_return=[2.]
global_step=7177, episodic_return=[0.]
global_step=7336, episodic_return=[1.]
global_step=7445, episodic_return=[0.]
global_step=7558, episodic_return=[0.]
global_step=7721, episodic_return=[1.]
global_step=7836, episodic_return=[0.]
global_step=7949, episodic_return=[0.]
global_step=8088, episodic_return=[1.]
global_step=8325, episodic_return=[3.]
global_step=8496, episodic_return=[2.]
global_step=8655, episodic_return=[1.]
global_step=8936, episodic_return=[4.]
global_step=9077, episodic_return=[1.]
global_step=9192, episodic_return=[0.]
global_step=9303, episodic_return=[0.]
global_step=9418, episodic_return=[0.]
global_step=9533, episodic_return=[0.]
global_step=9646, episodic_return=[0.]
global_step=9759, episodic_return=[0.]
global_step=9963, episodic_return=[2.]
global_step=10102, episodic_return=[1.]
global_step=10321, episodic_return=[3.]
global_step=10432, episodic_return=[0.]
global_step=10573, episodic_return=[1.]
global_step=10933, episodic_return=[8.]
global_step=11092, episodic_return=[1.]
global_step=11377, episodic_return=[4.]
